Seal ID	Survival	Tagloss	Sex 	Black Mass	Wean Mass	Brand
240	11000011100000	22UUUU111UUUUU	1			N
257	10000000000000	2UUUUUUUUUUUUU	1			N
258	10000000000010	2UUUUUUUUUUU1U	1			N
259	10000000000000	2UUUUUUUUUUUUU	1		140	N
260	10000000000000	2UUUUUUUUUUUUU	0			N
261	10000000000000	2UUUUUUUUUUUUU	0			N
269	10000000000000	2UUUUUUUUUUUUU	0	42		N
273	10100000000000	2U1UUUUUUUUUUU	1		147	N
274	10000000000000	2UUUUUUUUUUUUU	1	50	142	N
275	10000000000000	2UUUUUUUUUUUUU	0			N
277	10000000000000	2UUUUUUUUUUUUU	0	44		N
279	10000000000000	2UUUUUUUUUUUUU	1		144	N
280	11000000000000	22UUUUUUUUUUUU	0		101	N
281	11000101000000	22UUU1U1UUUUUU	0		121	N
282	10001000000000	2UUU2UUUUUUUUU	1		79	N
283	10000110111110	2UUUU22U11111U	1		143	N
284	10000000010010	2UUUUUUUU1UU1U	1		103	N
285	10000000000000	2UUUUUUUUUUUUU	1		117	N
286	10000000011000	2UUUUUUUU22UUU	1		95	N
287	10000000000000	2UUUUUUUUUUUUU	1		90	N
288	10000000000000	2UUUUUUUUUUUUU	1		109	N
289	10000000000000	2UUUUUUUUUUUUU	0		137	N
290	10100000000000	2U2UUUUUUUUUUU	0		102	N
291	11100000000000	222UUUUUUUUUUU	1		123	N
292	10000000000000	2UUUUUUUUUUUUU	1		176	N
293	10000000000000	2UUUUUUUUUUUUU	0		121	N
294	10000000000000	2UUUUUUUUUUUUU	0		83	N
295	11100000000000	222UUUUUUUUUUU	0		156	N
296	10000000000000	2UUUUUUUUUUUUU	0		157	N
297	10000000000000	2UUUUUUUUUUUUU	0		118	N
300	11000000000000	22UUUUUUUUUUUU	1		89	N
301	11000011111110	22UUUU2211111U	0		119	B
302	10000000010000	2UUUUUUUU1UUUU	1		156	N
303	10000000000000	2UUUUUUUUUUUUU	1		149	N
304	10000000000000	2UUUUUUUUUUUUU	0		119	N
305	10000000000000	2UUUUUUUUUUUUU	0		68	N
306	10000000000000	2UUUUUUUUUUUUU	1		153	N
307	10000000000000	2UUUUUUUUUUUUU	1		75	N
308	11010000000000	22U2UUUUUUUUUU	1		114	N
309	10100100000000	2U2UU1UUUUUUUU	0		93	N
310	10000000000000	2UUUUUUUUUUUUU	0		73	N
311	11000000000000	22UUUUUUUUUUUU	1		127	N
312	10000000000000	2UUUUUUUUUUUUU	1		147	N
313	10100001110011	2U2UUUU222UU1U	0		123	N
314	11000000000000	22UUUUUUUUUUUU	1		169	N
315	10000000001000	2UUUUUUUUU1UUU	0		77	N
316	10000000000000	2UUUUUUUUUUUUU	1		196	N
317	10100010000000	2U2UUU2UUUUUUU	1		107	N
318	10100000010000	2U2UUUUUU1UUUU	0		86	N
319	11000000000000	22UUUUUUUUUUUU	1		122	N
320	10000000000000	2UUUUUUUUUUUUU	1		105	N
321	11000000000000	22UUUUUUUUUUUU	0		170	N
322	11100111000000	222UU211UUUUUU	1		160	N
323	10000000000000	2UUUUUUUUUUUUU	1		131	N
324	10000000000000	2UUUUUUUUUUUUU	1		132	N
325	10000000000000	2UUUUUUUUUUUUU	0		87	N
326	10100000000000	2U1UUUUUUUUUUU	1		152	N
327	10000000000000	2UUUUUUUUUUUUU	1		86	N
328	11100000000000	221UUUUUUUUUUU	0		94	N
329	11100001001011	222UUUU2UU2U1U	0		108	N
330	11000000100000	22UUUUUU1UUUUU	1		146	N
331	10000000000000	2UUUUUUUUUUUUU	1		116	N
332	11100000000000	221UUUUUUUUUUU	0		90	N
333	11100100101111	222UU1UU1U111U	0		136	N
334	11100100000000	222UU1UUUUUUUU	1		141	N
335	10100011100000	2U2UUU222UUUUU	1		152	N
344	11000001110000	22UUUUU222UUUU	0			N
345	10000000000000	2UUUUUUUUUUUUU	0		160	N
346	10000000000000	2UUUUUUUUUUUUU	1		135	N
347	11000000001000	22UUUUUUUU2UUU	0		125	N
348	10000000000000	2UUUUUUUUUUUUU	1		74	N
349	11000000000000	22UUUUUUUUUUUU	1		155	N
350	10000000000000	2UUUUUUUUUUUUU	1		85	N
351	10000000000000	2UUUUUUUUUUUUU	0		166	N
352	10000000000000	2UUUUUUUUUUUUU	0		114	N
353	10100000000000	2U2UUUUUUUUUUU	0		112	N
354	10000000000000	2UUUUUUUUUUUUU	1		113	N
355	10000000000000	2UUUUUUUUUUUUU	1		81	N
356	10100000000000	2U2UUUUUUUUUUU	0		100	N
357	11001000000000	22UU1UUUUUUUUU	0		124	N
358	11000000000000	22UUUUUUUUUUUU	0		99	N
359	10000000000000	2UUUUUUUUUUUUU	1		139	N
360	11100000111111	22UUUUUU2U211U	0		108	N
361	11000000000000	22UUUUUUUUUUUU	0		128	N
362	11000000000100	22UUUUUUUUU1UU	0		140	N
363	11100000000000	221UUUUUUUUUUU	1		147	N
364	10000000000000	2UUUUUUUUUUUUU	1		141	N
365	10000000000000	2UUUUUUUUUUUUU	1		125	N
366	10100000000000	2U2UUUUUUUUUUU	0		95	N
367	11100000000000	222UUUUUUUUUUU	1		154	N
368	10000000000000	2UUUUUUUUUUUUU	0		96	N
369	10000000000000	2UUUUUUUUUUUUU	0		101	N
373	10000000000000	2UUUUUUUUUUUUU	0		123	N
374	10100000100100	2U2UUUUU1UU1UU	0		87	N
375	11000000000000	22UUUUUUUUUUUU	1		97	N
376	10000000000000	2UUUUUUUUUUUUU	1		149	N
377	10000000000000	2UUUUUUUUUUUUU	0		115	N
378	10000000000000	2UUUUUUUUUUUUU	0		83	N
379	11000000000000	22UUUUUUUUUUUU	0		140	N
380	10100000110000	2U2UUUUU22UUUU	0		109	N
381	10000000000000	2UUUUUUUUUUUUU	1		159	N
382	10000000000000	2UUUUUUUUUUUUU	1		99	N
383	10010000100001	2UU1UUUU1UUUUU	0		131	N
384	10000000000000	2UUUUUUUUUUUUU	0		135	N
385	10000000001000	2UUUUUUUUU1UUU	1		145	N
386	10000000000000	2UUUUUUUUUUUUU	0		156	N
387	10100000000000	2U2UUUUUUUUUUU	1		114	N
388	10000000000000	2UUUUUUUUUUUUU	1		132	N
389	10000000111110	2UUUUUUU22111U	0		103	N
390	11100000000000	222UUUUUUUUUUU	1		115	N
391	10000000000000	2UUUUUUUUUUUUU	0		154	N
392	10100000000000	2U1UUUUUUUUUUU	1		134	N
393	10000000000000	2UUUUUUUUUUUUU	1		114	N
394	10000000000000	2UUUUUUUUUUUUU	1		158	N
395	10000111100000	2UUUU1111UUUUU	1		180	N
396	10000000000000	2UUUUUUUUUUUUU	0		151	N
397	10100000000000	2U2UUUUUUUUUUU	1		165	N
398	10100000000000	2U2UUUUUUUUUUU	0		88	N
399	10000000000000	2UUUUUUUUUUUUU	1		103	N
400	10000000000000	2UUUUUUUUUUUUU	1		138	N
401	11000000000000	22UUUUUUUUUUUU	0		156	N
402	10000000000000	2UUUUUUUUUUUUU	1		139	N
567	10000000000000	2UUUUUUUUUUUUU	1		142	N
568	10000000000000	2UUUUUUUUUUUUU	1		162	N
569	10000101110000	2UUUU2U111UUUU	1		130	N
570	10000000000000	2UUUUUUUUUUUUU	1		135	N
580	10000000000000	2UUUUUUUUUUUUU	1		125	N
583	11000000000000	22UUUUUUUUUUUU	1			N
585	10000000000100	2UUUUUUUUUU1UU	1		131	N
586	10000000000000	2UUUUUUUUUUUUU	0		144	N
587	11000000000000	22UUUUUUUUUUUU	1		127	N
588	10000000000000	2UUUUUUUUUUUUU	0		155	N
589	10000000000000	2UUUUUUUUUUUUU	0			N
590	11001000111111	22UU2UUU222211	0		130	N
591	10000000000000	2UUUUUUUUUUUUU	1		162	N
592	10000000000000	2UUUUUUUUUUUUU	1		202	N
593	11000000000000	22UUUUUUUUUUUU	1		132	N
594	11000000000000	22UUUUUUUUUUUU	1		142	N
601	10100000000000	2U2UUUUUUUUUUU	1		178	N
602	10000001000000	2UUUUUU1UUUUUU	0		116	N
603	10000000000000	2UUUUUUUUUUUUU	0		134	N
604	11000000000000	22UUUUUUUUUUUU	0			N
605	11000111011110	22UUU211U1111U	1			N
606	10000000000010	2UUUUUUUUUUU1U	1			N
607	10000000000000	2UUUUUUUUUUUUU	0			N
609	10000000000000	2UUUUUUUUUUUUU	1		108	N
610	10000000000000	2UUUUUUUUUUUUU	0		119	N
611	10010000000000	2UU2UUUUUUUUUU	0		122	N
612	10000000010000	2UUUUUUUU1UUUU	0			N
613	10000000000000	2UUUUUUUUUUUUU	0			N
614	10100000000000	2U2UUUUUUUUUUU	0			N
615	10000000000000	2UUUUUUUUUUUUU	0			N
616	11000000000000	22UUUUUUUUUUUU	0			N
617	10000000000000	2UUUUUUUUUUUUU	0			N
618	10000000000000	2UUUUUUUUUUUUU	0			N
1095	01000000000000	U2UUUUUUUUUUUU	0		132	N
1097	01000000000000	U2UUUUUUUUUUUU	0		113	N
1104	01000000000000	U2UUUUUUUUUUUU	1	43	153	N
1105	01000100000000	U2UUU2UUUUUUUU	0	41	132	N
1106	01000000000000	U2UUUUUUUUUUUU	0	39	141	N
1119	01000000000000	U2UUUUUUUUUUUU	0	39		N
1120	01000000000000	U2UUUUUUUUUUUU	0	37	153	N
1121	01000000000000	U2UUUUUUUUUUUU	1	46	173	N
1122	01000000000000	U2UUUUUUUUUUUU	1	36	100	N
1123	01000000000000	U2UUUUUUUUUUUU	1	38	94	N
1131	01000000000000	U2UUUUUUUUUUUU	1	44	128	N
1132	01000000000000	U2UUUUUUUUUUUU	0	38	121	N
1135	01000000000000	U2UUUUUUUUUUUU	1	26	108	N
1136	01000000000000	U2UUUUUUUUUUUU	0	41	144	N
1139	01000000000000	U2UUUUUUUUUUUU	1	49		N
1140	01000000000000	U2UUUUUUUUUUUU	0	34	106	N
1141	01000000000000	U1UUUUUUUUUUUU	0	30		N
1142	01000000000000	U1UUUUUUUUUUUU	1	36		N
1143	01000000000000	U2UUUUUUUUUUUU	1	41		N
1144	01001000000000	U2UU1UUUUUUUUU	0	43	128	N
1145	01000000000000	U2UUUUUUUUUUUU	1	32	101	N
1146	01000000000000	U2UUUUUUUUUUUU	0	27		N
1147	01000000000000	U2UUUUUUUUUUUU	1	39		N
1148	01000000000000	U2UUUUUUUUUUUU	0	39	87	N
1149	01000011101000	U2UUUU222U2UUU	1	39		N
1150	01000010101011	U2UUUU2U2U2U21	0	37	116	N
1151	01000000000000	U2UUUUUUUUUUUU	1	46		N
1152	01000101000000	U2UUU2U1UUUUUU	1	45	123	N
1153	01000000000000	U2UUUUUUUUUUUU	0	27	87	N
1154	01000000000000	U2UUUUUUUUUUUU	1	28	99	N
1155	01000000000000	U2UUUUUUUUUUUU	0	48	162	N
1156	01000000000000	U2UUUUUUUUUUUU	0	36		N
1157	01000000000000	U2UUUUUUUUUUUU	1		108	N
1158	01000000000000	U2UUUUUUUUUUUU	1	34		N
1159	01000000000000	U2UUUUUUUUUUUU	1	34	96	N
1160	01000001000000	U2UUUUU1UUUUUU	1	38	94	N
1161	01000000000000	U2UUUUUUUUUUUU	1	40		N
1162	01000100000000	U2UUU2UUUUUUUU	1	49	126	N
1163	01000000000000	U2UUUUUUUUUUUU	1	39	112	N
1164	01000000000000	U2UUUUUUUUUUUU	0	24	68	N
1165	01000000000000	U2UUUUUUUUUUUU	0	39		N
1166	01000000000000	U2UUUUUUUUUUUU	1	30	95	N
1167	01010000000000	U2U1UUUUUUUUUU	1	46		N
1168	01000000000000	U1UUUUUUUUUUUU	1	51		N
1169	01000000000000	U2UUUUUUUUUUUU	0	36	128	N
1170	01100000000000	U22UUUUUUUUUUU	0	32		N
1171	01001000000000	U2UU1UUUUUUUUU	0	39	111	N
1172	01000000000000	U2UUUUUUUUUUUU	0	34		N
1173	01000000000000	U2UUUUUUUUUUUU	0	37		N
1174	01000000000000	U2UUUUUUUUUUUU	0	39	109	N
1175	01000000000000	U2UUUUUUUUUUUU	1	31	70	N
1176	01000000000000	U2UUUUUUUUUUUU	1	43		N
1177	01000100000000	U2UUU2UUUUUUUU	0	48	148	N
1178	01000000000000	U2UUUUUUUUUUUU	1		119	N
1179	01000000000000	U2UUUUUUUUUUUU	0	28		N
1180	01000100100100	U2UUU1UU1UU1UU	1	36	100	N
1181	01000000000000	U2UUUUUUUUUUUU	1	32	84	N
1182	01000000000000	U2UUUUUUUUUUUU	0	23	45	N
1183	01000000001111	U2UUUUUUUU111U	0	43	118	N
1184	01100000000000	U21UUUUUUUUUUU	0	30	64	N
1185	01000000000000	U2UUUUUUUUUUUU	1	29	84	N
1186	01000000000000	U2UUUUUUUUUUUU	1	40		N
1187	01000001100000	U2UUUUU21UUUUU	1	48	144	N
1188	01000000000000	U2UUUUUUUUUUUU	0	31		N
1189	01000000000000	U2UUUUUUUUUUUU	1	26		N
1190	01000000000000	U2UUUUUUUUUUUU	0	37	147	N
1191	01000000000000	U2UUUUUUUUUUUU	0	37		N
1192	01100000000000	U22UUUUUUUUUUU	1	40	78	N
1193	01100101000000	U22UU1U1UUUUUU	0	36		N
1194	01000000000000	U2UUUUUUUUUUUU	1	41		N
1195	01000000000000	U2UUUUUUUUUUUU	1	34		N
1196	01000000000000	U2UUUUUUUUUUUU	1	33		N
1197	01000000000000	U2UUUUUUUUUUUU	1	37		N
1198	01000000000000	U2UUUUUUUUUUUU	0	39		N
1199	01000000000000	U2UUUUUUUUUUUU	0	40		N
1200	01000100010000	U2UUU1UUU2UUUU	0	39		N
1201	01000000000000	U2UUUUUUUUUUUU	0	39		N
1202	01100000000000	U22UUUUUUUUUUU	1	49		N
1203	01000000000000	U2UUUUUUUUUUUU	1	31		N
1204	01000100000000	U2UUU2UUUUUUUU	1	46		N
1205	01000000000000	U2UUUUUUUUUUUU	0	41		N
1206	01000000001000	U2UUUUUUUU1UUU	0	41		N
1207	01000000000000	U2UUUUUUUUUUUU	1	45		N
1208	01000011111000	U2UUUU22211UUU	1	43		N
1209	01000100000000	U2UUU1UUUUUUUU	0	39		N
1210	01000001111000	U2UUUUU2222UUU	0	39		N
1211	01110001101111	U222UUU22U1112	0	44		N
1212	01000000000000	U2UUUUUUUUUUUU	0	23		N
1213	01000000000000	U2UUUUUUUUUUUU	0	43		N
1214	01000000000000	U2UUUUUUUUUUUU	1	38		N
1215	01000000000000	U2UUUUUUUUUUUU	0	28		N
1216	01000000100000	U2UUUUUU2UUUUU	0	37		N
1217	01000000000000	U2UUUUUUUUUUUU	0	36	133	N
1218	01100000000000	U22UUUUUUUUUUU	1	46		N
1219	01000000000000	U2UUUUUUUUUUUU	0	30		N
1220	01000000000000	U2UUUUUUUUUUUU	1	46	113	N
1221	01000000000000	U2UUUUUUUUUUUU	0	30		N
1222	01000000000000	U2UUUUUUUUUUUU	1	36		N
1223	01000000000000	U2UUUUUUUUUUUU	0	40		N
1224	01000000000000	U2UUUUUUUUUUUU	0	36		N
1225	01100000000000	U22UUUUUUUUUUU	0	46	155	N
1226	01000100000000	U2UUU2UUUUUUUU	1	46	102	N
1227	01100000000000	U21UUUUUUUUUUU	1	30		N
1228	01001000001000	U2UU1UUUUU1UUU	0	41	172	N
1229	01000000000000	U2UUUUUUUUUUUU	1	40	112	N
1230	01000000010000	U2UUUUUUU1UUUU	0	40	116	N
1231	01000000010000	U2UUUUUUU2UUUU	0	36		N
1232	01000000000000	U2UUUUUUUUUUUU	0	34		N
1233	01000000000000	U2UUUUUUUUUUUU	0	33		N
1234	01000000000000	U2UUUUUUUUUUUU	1	44		N
1235	01000100000000	U2UUU1UUUUUUUU	1	43		N
1236	01100100000000	U21UU1UUUUUUUU	0	29		N
1237	01000000000000	U2UUUUUUUUUUUU	1	40		N
1238	01000000000000	U2UUUUUUUUUUUU	1	34		N
1239	01000000000000	U2UUUUUUUUUUUU	0	36	113	N
1240	01000000000000	U2UUUUUUUUUUUU	1	43		N
1241	01000000000000	U2UUUUUUUUUUUU	0	36	96	N
1242	01000000000000	U2UUUUUUUUUUUU	1	28		N
1243	01000000000000	U2UUUUUUUUUUUU	1	36	93	N
1244	01000000000000	U2UUUUUUUUUUUU	0	41		N
1245	01000000000000	U2UUUUUUUUUUUU	0	32		N
1246	01000000000000	U2UUUUUUUUUUUU	1	56	170	N
1247	01000000000000	U2UUUUUUUUUUUU	0	34	83	N
1248	01000000000000	U2UUUUUUUUUUUU	0	46	133	N
1249	01000000000000	U2UUUUUUUUUUUU	0	45		N
1250	01001010000000	U2UU1U1UUUUUUU	1	43	126	N
1251	01000000000000	U2UUUUUUUUUUUU	1	38		N
1252	01000100100000	U2UUU1UU1UUUUU	0	44	130	N
1253	01000000000000	U2UUUUUUUUUUUU	1	38		N
1254	01100000000000	U22UUUUUUUUUUU	1	43	108	N
1255	01000100100000	U2UUU1UU1UUUUU	0	41	123	N
1256	01010000000000	U2U2UUUUUUUUUU	1	36		N
1257	01000000000000	U2UUUUUUUUUUUU	1	39		N
1258	01000000000000	U2UUUUUUUUUUUU	1	41	132	N
1259	01000000000000	U2UUUUUUUUUUUU	0	41		N
1260	01001000000000	U2UU1UUUUUUUUU	1	28		N
1261	01000100100000	U2UUU2UU2UUUUU	0	37		N
1262	01000000000000	U2UUUUUUUUUUUU	0		124	N
1263	01000000000000	U2UUUUUUUUUUUU	1			N
1264	01000000000000	U2UUUUUUUUUUUU	1			N
1265	01100000000000	U22UUUUUUUUUUU	1			N
1266	01000000000000	U2UUUUUUUUUUUU	1			N
1267	01000000001000	U2UUUUUUUU1UUU	0		67	N
1268	01000000000000	U2UUUUUUUUUUUU	1	28		N
1269	01000000000000	U2UUUUUUUUUUUU	1	41	69	N
1270	01000000000000	U2UUUUUUUUUUUU	1	35		N
1271	01000000010000	U2UUUUUUU1UUUU	0	34		N
1272	01000000001000	U2UUUUUUUU1UUU	1	55		N
1273	01000101111001	U2UUU2U2222UUU	0	40	110	N
1274	01000000000000	U2UUUUUUUUUUUU	0	42		N
1275	01000000000000	U2UUUUUUUUUUUU	1	40		N
1276	01100000000000	U22UUUUUUUUUUU	1	42	92	N
1277	01000000000000	U2UUUUUUUUUUUU	1	40	100	N
1278	01000000000000	U2UUUUUUUUUUUU	1	30		N
1279	01101000111111	U22U2UUU222221	0		159	N
1280	01000000000000	U2UUUUUUUUUUUU	0	37		N
1281	01000000000000	U2UUUUUUUUUUUU	0	37	136	N
1282	01000000000000	U2UUUUUUUUUUUU	1	33		N
1283	01000000000000	U2UUUUUUUUUUUU	0		120	N
1284	01000001000000	U2UUUUU2UUUUUU	0	41	117	N
1285	01010100000000	U2U1U1UUUUUUUU	0		177	N
1286	01000000000000	U2UUUUUUUUUUUU	1		166	N
1287	01000000000000	U2UUUUUUUUUUUU	0		127	N
1288	01000000000000	U2UUUUUUUUUUUU	1		166	N
1289	01000000000000	U2UUUUUUUUUUUU	1	50	172	N
1290	01000000000000	U2UUUUUUUUUUUU	0	31	105	N
1291	01000000000000	U2UUUUUUUUUUUU	1		172	N
1292	01000000000000	U2UUUUUUUUUUUU	0		158	N
1293	01000100000000	U2UUU1UUUUUUUU	0		138	N
1294	01000000000000	U2UUUUUUUUUUUU	0		103	N
1295	01000000000000	U2UUUUUUUUUUUU	1		143	N
1296	01000000000000	U2UUUUUUUUUUUU	0		129	N
1297	01000000000000	U2UUUUUUUUUUUU	0		164	N
1298	01000000000000	U2UUUUUUUUUUUU	1		113	N
1299	01000000000000	U2UUUUUUUUUUUU	1		132	N
1300	01100000000000	U21UUUUUUUUUUU	0		87	N
1301	01000000101000	U2UUUUUU2U2UUU	0		93	N
1302	01000000000000	U2UUUUUUUUUUUU	0		169	N
1303	01000000100000	U2UUUUUU1UUUUU	0		143	N
1304	01000000000000	U2UUUUUUUUUUUU	0		127	N
1305	01100101111111	U22UU2U2222222	0		127	N
1306	01000000000000	U2UUUUUUUUUUUU	1		187	N
1307	01000001000000	U2UUUUU2UUUUUU	0		126	N
1308	01000000100000	U2UUUUUU2UUUUU	0		176	N
1309	01000000000000	U2UUUUUUUUUUUU	0		139	N
1310	01000101000000	U2UUU1U1UUUUUU	0		178	N
1311	01000000000000	U2UUUUUUUUUUUU	1	34	134	N
1312	01001100100000	U2UU22UU2UUUUU	1	42	147	N
1313	01100000000000	U21UUUUUUUUUUU	0	44		N
1314	01000001110000	U2UUUUU222UUUU	0		141	N
1315	01100000000000	U22UUUUUUUUUUU	0		139	N
1316	01011000000000	U2U11UUUUUUUUU	0		141	N
1317	01000000000000	U2UUUUUUUUUUUU	1		148	N
1318	01000000000000	U2UUUUUUUUUUUU	0		136	N
1319	01100000000000	U22UUUUUUUUUUU	1	49		N
1320	01000000000000	U2UUUUUUUUUUUU	0	38		N
1321	01000000000000	U2UUUUUUUUUUUU	1		139	N
1322	01100000000000	U22UUUUUUUUUUU	1		183	N
1323	01100000000000	U21UUUUUUUUUUU	1		101	N
1324	01000000000000	U2UUUUUUUUUUUU	1		113	N
1325	01000000000000	U2UUUUUUUUUUUU	0	40		N
1326	01001000000000	U2UU1UUUUUUUUU	1		118	N
1327	01000000000000	U2UUUUUUUUUUUU	0	26		N
1328	01100000000000	U22UUUUUUUUUUU	1	38	83	N
1329	01000000000100	U2UUUUUUUUU2UU	1		115	N
1330	01000000100000	U2UUUUUU1UUUUU	1		138	N
1331	01000000000000	U2UUUUUUUUUUUU	0		109	N
1332	01000001100000	U2UUUUU22UUUUU	0		119	N
1333	01000000000000	U2UUUUUUUUUUUU	1	41		N
1334	01000000000000	U2UUUUUUUUUUUU	0	47	146	N
1335	01000000000000	U2UUUUUUUUUUUU	0	35	97	N
1336	01000101111100	U2UUU2U22211UU	0	30	118	N
1337	01000000000000	U2UUUUUUUUUUUU	0	38	113	N
1338	01000000100000	U2UUUUUU1UUUUU	1		148	N
1339	01000000000000	U2UUUUUUUUUUUU	0	43	97	N
1343	01000000000000	U2UUUUUUUUUUUU	0	44	157	N
1344	01010000000000	U2U1UUUUUUUUUU	1	48		N
1346	01000000000000	U2UUUUUUUUUUUU	0	42	93	N
1347	01000000000000	U2UUUUUUUUUUUU	1		70	N
1351	01000000010000	U2UUUUUUU1UUUU	0	28	58	N
1352	01000001000000	U2UUUUU1UUUUUU	0	40	114	N
1354	01000000000000	U2UUUUUUUUUUUU	0	40		N
1357	01010001100000	U2U1UUU11UUUUU	0	42	134	N
1363	01100000000000	U21UUUUUUUUUUU	1		116	N
1364	01010010110000	U2U2UU2U21UUUU	0		112	N
1369	01000000000000	U2UUUUUUUUUUUU	0	49	99	N
1371	01000000000000	U2UUUUUUUUUUUU	1		122	N
1372	01000000000000	U2UUUUUUUUUUUU	1		140	N
1373	01000000000000	U2UUUUUUUUUUUU	1		101	N
1374	01010101100100	U2U2U2U22UU1UU	0		105	N
